tool		Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8
run set		btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2
word-level-hwmc-benchmarks/bv/btor2/		status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host
beem/anderson.5.prop1-func-interl.yml	false	TIMEOUT	990.463291454	970.8337039919988	2833.666048	cloud-24643	ERROR (verification stuck, after parsing finished)	95.58900491	79.98906270299995	1118.924800	cloud-24643	TIMEOUT	991.011277124	919.6080555650005	13474.955264	cloud-23942	TIMEOUT	991.030880569	968.5455837530026	8900.194304	cloud-23942	TIMEOUT	990.910037907	977.0862750439992	7472.263168	cloud-24441
beem/anderson.6.prop1-back-serstep.yml	true	TIMEOUT	991.396139373	931.4917767220002	6162.292736	cloud-24443	ERROR (verification stuck, after parsing finished)	113.325688102	94.19661602599808	1179.389952	cloud-24441	OUT OF MEMORY	300.558689646	274.28508023799805	15000.035328	cloud-24643	TIMEOUT	991.535463555	960.6147936220223	12645.593088	cloud-23942	TIMEOUT	991.182158978	963.077378439004	14319.484928	cloud-23941
beem/anderson.6.prop1-func-interl.yml	true	TIMEOUT	990.814872466	951.4405458789988	2553.667584	cloud-24444	ERROR (verification stuck, after parsing finished)	163.719332615	140.26713931300037	1024.655360	cloud-24444	TIMEOUT	992.90170782	919.573206563	12945.641472	cloud-24444	TIMEOUT	991.066910377	972.3436576280001	7181.496320	cloud-24643	TIMEOUT	991.310898121	971.2509843209991	8445.771776	cloud-24441
beem/anderson.7.prop1-back-serstep.yml	false	TIMEOUT	991.25907315	952.48521652	4976.168960	cloud-24643	ERROR (verification stuck, after parsing finished)	128.577129985	108.75492352999936	1038.585856	cloud-24444	OUT OF MEMORY	610.972598458	566.473926428007	15000.170496	cloud-23939	TIMEOUT	990.732872942	975.0160891449996	6265.987072	cloud-24441	TIMEOUT	991.086368616	965.2259784560001	10980.290560	cloud-24444
beem/anderson.7.prop1-func-interl.yml	false	TIMEOUT	990.662942643	973.8294733069997	2734.387200	cloud-24643	ERROR (verification stuck, after parsing finished)	175.590841582	150.5982599709996	1162.780672	cloud-24643	OUT OF MEMORY	368.11422187	338.7435863020364	15000.174592	cloud-23943	TIMEOUT	990.724032247	978.6922036100004	5256.794112	cloud-24441	TIMEOUT	990.808848982	975.5400258070149	9935.634432	cloud-23943
beem/anderson.8.prop1-back-serstep.yml	true	TIMEOUT	990.675573063	954.9590651830003	2885.787648	cloud-24441	ERROR (verification stuck, after parsing finished)	208.118965355	182.60695863	1133.207552	cloud-24441	TIMEOUT	991.771000279	947.8919454610004	12167.540736	cloud-24444	TIMEOUT	991.398029377	964.6931033459987	7777.599488	cloud-24444	TIMEOUT	991.026640374	969.1418050379998	9418.395648	cloud-24643
beem/anderson.8.prop1-func-interl.yml	true	TIMEOUT	991.08273227	926.4325837260003	2343.264256	cloud-24643	ERROR (verification stuck, after parsing finished)	222.226702406	192.05968073799886	1128.579072	cloud-24441	OUT OF MEMORY	354.357431273	328.099278351001	15000.047616	cloud-24643	TIMEOUT	991.458391496	961.7160946829972	6765.465600	cloud-24441	TIMEOUT	991.047718863	969.5266777379984	6918.807552	cloud-24441
beem/at.1.prop1-back-serstep.yml	true	TIMEOUT	990.86996857	962.5614736370007	3666.251776	cloud-24643	ERROR (verification stuck, after parsing finished)	57.926128329	41.32597160499972	500.338688	cloud-24643	TIMEOUT	927.455888388	855.1918418330024	15000.174592	cloud-23942	TIMEOUT	991.177796288	952.0749918119982	11559.723008	cloud-23939	TIMEOUT	991.386823851	964.5573451129894	11057.168384	cloud-24643
beem/at.1.prop1-func-interl.yml	true	TIMEOUT	990.990010765	942.9937874440002	2457.358336	cloud-24643	ERROR (verification stuck, after parsing finished)	92.237892169	75.17447803200002	881.823744	cloud-24643	TIMEOUT	992.71557825	923.9591425260005	13406.347264	cloud-24643	TIMEOUT	991.280216385	961.1623430580003	10749.853696	cloud-23941	TIMEOUT	991.235939801	970.6691689940053	8928.321536	cloud-24444
beem/at.2.prop1-back-serstep.yml	false	TIMEOUT	991.129576687	947.2577676849978	3465.424896	cloud-24441	ERROR (verification stuck, after parsing finished)	68.647790418	48.6754137129974	504.283136	cloud-24643	TIMEOUT	944.26419982	877.4090754780045	15000.178688	cloud-23943	TIMEOUT	991.022445321	954.1545448769994	11268.390912	cloud-23939	TIMEOUT	991.214960849	966.2470952250005	11362.332672	cloud-24643
