input_type_btor2,run_name_btor2,properties_btor2,expected_verdict_btor2,status_btor2,cputime_btor2,walltime_btor2,memory_btor2,host_btor2,files_btor2,benchmark_id,input_type_c,run_name_c,properties_c,expected_verdict_c,status_c,cputime_c,walltime_c,memory_c,host_c,files_c,cpu_speedup,wall_speedup,memory_ratio
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.7.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.25907315,952.48521652,4976168960,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.7.prop1-back-serstep.btor2],anderson.7.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.7.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,992.976509281,852.6098465949981,13469949952,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.7.prop1-back-serstep.c],0.9982704161529021,1.11714076529126,0.3694274275504004
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.7.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.662942643,973.8294733069997,2734387200,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.7.prop1-func-interl.btor2],anderson.7.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.7.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.76937948,969.8582342930022,5904879616,cloud-23942,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.7.prop1-func-interl.c],0.9998925715315748,1.0040946592744995,0.46307247189101713
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.8.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,990.675573063,954.9590651830003,2885787648,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.8.prop1-back-serstep.btor2],anderson.8.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.8.prop1-back-serstep.yml,unreach-call,true,OUT OF MEMORY,631.261386768,505.741921170993,15000150016,cloud-23943,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.8.prop1-back-serstep.c],1.5693587376461715,1.888233949386461,0.19238391915559894
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.8.prop1-func-interl.yml,unreach-call,true,TIMEOUT,991.08273227,926.4325837260003,2343264256,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/anderson.8.prop1-func-interl.btor2],anderson.8.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.8.prop1-func-interl.yml,unreach-call,true,TIMEOUT,991.153537173,966.7769175349968,6284009472,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/anderson.8.prop1-func-interl.c],0.9999285631334152,0.9582692417689668,0.3728931769503227
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.1.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,990.86996857,962.5614736370007,3666251776,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.1.prop1-back-serstep.btor2],at.1.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.1.prop1-back-serstep.yml,unreach-call,true,TIMEOUT,991.494949955,956.0139497819982,11747471360,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.1.prop1-back-serstep.c],0.9993696575206678,1.0068487743892185,0.3120885902717366
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.1.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.990010765,942.9937874440002,2457358336,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.1.prop1-func-interl.btor2],at.1.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.1.prop1-func-interl.yml,unreach-call,true,TIMEOUT,990.671598163,967.151025240004,4458061824,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.1.prop1-func-interl.c],1.0003214108515783,0.9750222693606627,0.5512167468765906
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.2.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.129576687,947.2577676849978,3465424896,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.2.prop1-back-serstep.btor2],at.2.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.2.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.235516561,957.3502293339989,10810847232,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.2.prop1-back-serstep.c],0.9998931234078783,0.9894579211037301,0.32055072295743636
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.2.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.623810812,953.7522642010008,1862291456,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.2.prop1-func-interl.btor2],at.2.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.2.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.774499995,965.4758834799941,3883835392,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.2.prop1-func-interl.c],0.9998479076893876,0.9878571598943142,0.47949803944729075
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.3.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,990.484298572,957.9723891870017,1554583552,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.3.prop1-back-serstep.btor2],at.3.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.3.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,776.081738847,652.4069921269997,15000150016,cloud-23944,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.3.prop1-back-serstep.c],1.2762628586565263,1.468366220392254,0.10363786697744984
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.3.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.616578379,961.4945676689968,2532683776,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/at.3.prop1-func-interl.btor2],at.3.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.3.prop1-func-interl.yml,unreach-call,false,TIMEOUT,990.765907113,968.2313318119996,4862124032,cloud-24643,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/at.3.prop1-func-interl.c],0.9998492794988928,0.9930421956802459,0.5209006926460901
