Algorithm,Benchmark,Benchmark_Base,Iterations,Vars,Locs,Edges,Atomic_Stmts,XCVA_Path,Log_Path
KIND_BTOR,production_cell.5.prop1-func-interl.btor2,production_cell.5,8,1249,3,3,1526,fight_xcfa\btor2-xcfa\production_cell.5.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,production_cell.6.prop1-back-serstep.btor2,production_cell.6,8,1459,3,3,1776,fight_xcfa\btor2-xcfa\production_cell.6.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,production_cell.6.prop1-func-interl.btor2,production_cell.6,8,1459,3,3,1776,fight_xcfa\btor2-xcfa\production_cell.6.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.1.prop1-back-serstep.btor2,protocols.1,8,324,3,3,420,fight_xcfa\btor2-xcfa\protocols.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.1.prop1-func-interl.btor2,protocols.1,8,324,3,3,420,fight_xcfa\btor2-xcfa\protocols.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.2.prop1-back-serstep.btor2,protocols.2,8,367,3,3,474,fight_xcfa\btor2-xcfa\protocols.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.2.prop1-func-interl.btor2,protocols.2,8,367,3,3,474,fight_xcfa\btor2-xcfa\protocols.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.3.prop1-back-serstep.btor2,protocols.3,8,459,3,3,581,fight_xcfa\btor2-xcfa\protocols.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.3.prop1-func-interl.btor2,protocols.3,8,459,3,3,581,fight_xcfa\btor2-xcfa\protocols.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.4.prop1-back-serstep.btor2,protocols.4,8,459,3,3,581,fight_xcfa\btor2-xcfa\protocols.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.4.prop1-func-interl.btor2,protocols.4,8,459,3,3,581,fight_xcfa\btor2-xcfa\protocols.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.5.prop1-back-serstep.btor2,protocols.5,8,459,3,3,581,fight_xcfa\btor2-xcfa\protocols.5.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,protocols.5.prop1-func-interl.btor2,protocols.5,8,459,3,3,581,fight_xcfa\btor2-xcfa\protocols.5.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.1.prop1-func-interl.btor2,resistance.1,8,476,3,3,582,fight_xcfa\btor2-xcfa\resistance.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.1.prop2-func-interl.btor2,resistance.1,8,476,3,3,582,fight_xcfa\btor2-xcfa\resistance.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.1.prop3-func-interl.btor2,resistance.1,8,476,3,3,582,fight_xcfa\btor2-xcfa\resistance.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.2.prop1-back-serstep.btor2,resistance.2,8,589,3,3,714,fight_xcfa\btor2-xcfa\resistance.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.2.prop1-func-interl.btor2,resistance.2,8,589,3,3,714,fight_xcfa\btor2-xcfa\resistance.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.2.prop2-func-interl.btor2,resistance.2,8,589,3,3,714,fight_xcfa\btor2-xcfa\resistance.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,resistance.2.prop3-func-interl.btor2,resistance.2,8,589,3,3,714,fight_xcfa\btor2-xcfa\resistance.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,schedule_world.1.prop1-back-serstep.btor2,schedule_world.1,8,520,3,3,640,fight_xcfa\btor2-xcfa\schedule_world.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,schedule_world.1.prop1-func-interl.btor2,schedule_world.1,8,520,3,3,640,fight_xcfa\btor2-xcfa\schedule_world.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,schedule_world.2.prop1-back-serstep.btor2,schedule_world.2,8,727,3,3,883,fight_xcfa\btor2-xcfa\schedule_world.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,schedule_world.2.prop1-func-interl.btor2,schedule_world.2,8,727,3,3,883,fight_xcfa\btor2-xcfa\schedule_world.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,schedule_world.3.prop1-back-serstep.btor2,schedule_world.3,8,934,3,3,1126,fight_xcfa\btor2-xcfa\schedule_world.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,schedule_world.3.prop1-func-interl.btor2,schedule_world.3,8,934,3,3,1126,fight_xcfa\btor2-xcfa\schedule_world.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,count2.btor2,count2,8,3,3,3,8,fight_xcfa\btor2-xcfa\count2.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,count4.btor2,count4,8,3,3,3,8,fight_xcfa\btor2-xcfa\count4.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,factorial4even.btor2,factorial4even,8,8,4,5,17,fight_xcfa\btor2-xcfa\factorial4even.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,recount4.btor2,recount4,8,7,3,3,16,fight_xcfa\btor2-xcfa\recount4.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,twocount2.btor2,twocount2,8,10,3,3,22,fight_xcfa\btor2-xcfa\twocount2.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,twocount32.btor2,twocount32,8,10,3,3,22,fight_xcfa\btor2-xcfa\twocount32.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,Huffman_dec.btor2,Huffman_dec,8,193,3,3,285,fight_xcfa\btor2-xcfa\Huffman_dec.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,Huffman_enc.btor2,Huffman_enc,8,103,3,3,115,fight_xcfa\btor2-xcfa\Huffman_enc.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,stack-p1.btor2,stack-p1,8,802,3,3,835,fight_xcfa\btor2-xcfa\stack-p1.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_BTOR,stack-p2.btor2,stack-p2,8,735,3,3,768,fight_xcfa\btor2-xcfa\stack-p2.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,driving_phils.2.prop1-func-interl.c,driving_phils.2,13,2551,5,4,6027,fight_xcfa\c-xcfa\driving_phils.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
