Algorithm,Benchmark,CPU_Time_Seconds,Memory_MB,Iterations,Vars,Locs,Edges,Atomic_Stmts,Algo_Type,Algo_Category
IMC_BTOR,driving_phils.1.prop1-func-interl.btor2,19.429223763,406.16796875,4,934,3,3,1091,BTOR,IMC
IMC_BTOR,driving_phils.2.prop1-back-serstep.btor2,72.430188319,1333.54296875,4,974,3,3,1162,BTOR,IMC
IMC_BTOR,driving_phils.2.prop1-func-interl.btor2,12.393887544,559.51953125,4,974,3,3,1162,BTOR,IMC
IMC_BTOR,driving_phils.3.prop1-back-serstep.btor2,89.838211119,1844.4921875,4,1270,3,3,1472,BTOR,IMC
IMC_BTOR,driving_phils.3.prop1-func-interl.btor2,16.964076381,692.421875,4,1270,3,3,1472,BTOR,IMC
IMC_BTOR,driving_phils.4.prop1-back-serstep.btor2,134.590114855,2276.19140625,4,1410,3,3,1645,BTOR,IMC
IMC_BTOR,driving_phils.4.prop1-func-interl.btor2,16.175747628,846.5703125,4,1410,3,3,1645,BTOR,IMC
IMC_BTOR,driving_phils.5.prop1-back-serstep.btor2,246.835372341,1547.53125,4,1214,3,3,1439,BTOR,IMC
IMC_BTOR,driving_phils.5.prop1-func-interl.btor2,15.717189261,720.1015625,4,1214,3,3,1439,BTOR,IMC
IMC_BTOR,peterson.3.prop1-back-serstep.btor2,203.917620454,1157.87109375,4,481,3,3,599,BTOR,IMC
IMC_BTOR,production_cell.1.prop1-back-serstep.btor2,38.062425371,734.65625,4,724,3,3,901,BTOR,IMC
IMC_BTOR,production_cell.1.prop1-func-interl.btor2,9.605401293,356.5,4,724,3,3,901,BTOR,IMC
IMC_BTOR,production_cell.3.prop1-back-serstep.btor2,52.981478465,1004.3203125,4,1039,3,3,1276,BTOR,IMC
IMC_BTOR,production_cell.3.prop1-func-interl.btor2,21.717809144,693.85546875,4,1039,3,3,1276,BTOR,IMC
IMC_BTOR,production_cell.5.prop1-back-serstep.btor2,71.06688409,1517.65625,4,1249,3,3,1526,BTOR,IMC
IMC_BTOR,production_cell.5.prop1-func-interl.btor2,23.406060806,1009.02734375,4,1249,3,3,1526,BTOR,IMC
IMC_BTOR,production_cell.6.prop1-back-serstep.btor2,85.051697238,1659.0703125,4,1459,3,3,1776,BTOR,IMC
IMC_BTOR,production_cell.6.prop1-func-interl.btor2,18.890669393,1102.78125,4,1459,3,3,1776,BTOR,IMC
IMC_BTOR,protocols.1.prop1-back-serstep.btor2,204.546392037,561.3203125,4,324,3,3,420,BTOR,IMC
IMC_BTOR,protocols.1.prop1-func-interl.btor2,141.585626094,529.4609375,4,324,3,3,420,BTOR,IMC
IMC_BTOR,protocols.2.prop1-back-serstep.btor2,462.797831309,678.0,4,367,3,3,474,BTOR,IMC
IMC_BTOR,protocols.2.prop1-func-interl.btor2,415.217036694,639.5546875,4,367,3,3,474,BTOR,IMC
IMC_BTOR,protocols.5.prop1-back-serstep.btor2,339.252336231,1085.97265625,4,459,3,3,581,BTOR,IMC
IMC_BTOR,resistance.2.prop1-back-serstep.btor2,497.703466317,1044.4453125,4,589,3,3,714,BTOR,IMC
IMC_BTOR,resistance.2.prop1-func-interl.btor2,129.134320809,963.8515625,4,589,3,3,714,BTOR,IMC
IMC_BTOR,schedule_world.1.prop1-func-interl.btor2,747.450164026,5696.59765625,4,520,3,3,640,BTOR,IMC
IMC_BTOR,schedule_world.2.prop1-back-serstep.btor2,161.697048717,1383.671875,4,727,3,3,883,BTOR,IMC
IMC_BTOR,schedule_world.2.prop1-func-interl.btor2,43.9546312,750.75390625,4,727,3,3,883,BTOR,IMC
IMC_BTOR,schedule_world.3.prop1-back-serstep.btor2,47.28471995,1621.7421875,4,934,3,3,1126,BTOR,IMC
IMC_BTOR,schedule_world.3.prop1-func-interl.btor2,21.720163851,654.90625,4,934,3,3,1126,BTOR,IMC
IMC_BTOR,count2.btor2,6.168855241,147.125,4,3,3,3,8,BTOR,IMC
IMC_BTOR,count4.btor2,15.093736638,224.86328125,4,3,3,3,8,BTOR,IMC
IMC_BTOR,twocount2.btor2,6.498733664,180.9765625,4,10,3,3,22,BTOR,IMC
IMC_BTOR,twocount32.btor2,14.784284102,259.05859375,4,10,3,3,22,BTOR,IMC
IMC_BTOR,stack-p1.btor2,423.448221775,1793.08984375,4,802,3,3,835,BTOR,IMC
IMC_C,production_cell.1.prop1-func-interl.c,655.784732226,5488.0625,9,1993,5,4,4785,C,IMC
IMC_C,count2.c,25.251948103,304.77734375,9,11,5,4,30,C,IMC
IMC_C,count4.c,141.241525451,794.8984375,9,11,5,4,30,C,IMC
IMC_C,twocount2.c,139.208119924,12784.19921875,9,30,5,4,82,C,IMC
IMC_C,twocount32.c,34.610899916,728.9140625,9,28,5,4,74,C,IMC
KIND_BTOR,adding.1.prop1-back-serstep.btor2,172.179520339,405.421875,8,138,3,3,178,BTOR,KIND
KIND_BTOR,anderson.1.prop1-back-serstep.btor2,56.568944156,432.3671875,8,287,3,3,353,BTOR,KIND
KIND_BTOR,anderson.3.prop1-back-serstep.btor2,806.845606434,1966.0078125,8,450,3,3,545,BTOR,KIND
KIND_BTOR,bakery.2.prop1-back-serstep.btor2,699.05227149,727.9765625,8,367,3,3,449,BTOR,KIND
KIND_BTOR,driving_phils.1.prop1-back-serstep.btor2,41.682862561,1087.1484375,8,934,3,3,1091,BTOR,KIND
KIND_BTOR,driving_phils.1.prop1-func-interl.btor2,12.484312478,473.3046875,8,934,3,3,1091,BTOR,KIND
KIND_BTOR,driving_phils.2.prop1-back-serstep.btor2,792.609150603,1260.3515625,8,974,3,3,1162,BTOR,KIND
KIND_BTOR,driving_phils.2.prop1-func-interl.btor2,19.246154672,381.40234375,8,974,3,3,1162,BTOR,KIND
KIND_BTOR,driving_phils.3.prop1-back-serstep.btor2,107.704375694,1542.80859375,8,1270,3,3,1472,BTOR,KIND
KIND_BTOR,driving_phils.3.prop1-func-interl.btor2,19.059265857,570.22265625,8,1270,3,3,1472,BTOR,KIND
KIND_BTOR,driving_phils.4.prop1-back-serstep.btor2,83.366232061,1876.2734375,8,1410,3,3,1645,BTOR,KIND
KIND_BTOR,driving_phils.4.prop1-func-interl.btor2,21.766582016,545.7109375,8,1410,3,3,1645,BTOR,KIND
KIND_BTOR,driving_phils.5.prop1-back-serstep.btor2,86.898595792,1645.96875,8,1214,3,3,1439,BTOR,KIND
KIND_BTOR,driving_phils.5.prop1-func-interl.btor2,11.571703502,692.828125,8,1214,3,3,1439,BTOR,KIND
KIND_BTOR,krebs.1.prop1-func-interl.btor2,475.974114044,1051.63671875,8,417,3,3,518,BTOR,KIND
KIND_BTOR,peterson.3.prop1-back-serstep.btor2,226.707537864,627.8046875,8,481,3,3,599,BTOR,KIND
KIND_BTOR,production_cell.1.prop1-back-serstep.btor2,17.648133454,662.8828125,8,724,3,3,901,BTOR,KIND
KIND_BTOR,production_cell.1.prop1-func-interl.btor2,9.395022503,344.67578125,8,724,3,3,901,BTOR,KIND
KIND_BTOR,production_cell.3.prop1-back-serstep.btor2,23.765619187,1005.2265625,8,1039,3,3,1276,BTOR,KIND
