Input Filename,Input Type,Algorithm,Iterations
exit.2.prop1-func-interl.yml,BTOR2,BMC,5
exit.3.prop1-back-serstep.yml,BTOR2,BMC,4
exit.3.prop1-func-interl.yml,BTOR2,BMC,5
exit.4.prop1-back-serstep.yml,BTOR2,BMC,4
exit.4.prop1-func-interl.yml,BTOR2,BMC,5
exit.5.prop1-back-serstep.yml,BTOR2,BMC,4
exit.5.prop1-func-interl.yml,BTOR2,BMC,5
extinction.1.prop1-back-serstep.yml,BTOR2,BMC,4
extinction.1.prop1-func-interl.yml,BTOR2,BMC,5
extinction.2.prop1-back-serstep.yml,BTOR2,BMC,4
extinction.2.prop1-func-interl.yml,BTOR2,BMC,5
extinction.3.prop1-back-serstep.yml,BTOR2,BMC,4
extinction.3.prop1-func-interl.yml,BTOR2,BMC,4
extinction.4.prop1-back-serstep.yml,BTOR2,BMC,3
extinction.4.prop1-func-interl.yml,BTOR2,BMC,4
factorial4even.yml,BTOR2,BMC,30
firewire_tree.1.prop1-back-serstep.yml,BTOR2,BMC,3
firewire_tree.1.prop1-func-interl.yml,BTOR2,BMC,3
firewire_tree.1.prop2-back-serstep.yml,BTOR2,BMC,3
firewire_tree.1.prop2-func-interl.yml,BTOR2,BMC,3
firewire_tree.1.prop3-back-serstep.yml,BTOR2,BMC,3
firewire_tree.1.prop3-func-interl.yml,BTOR2,BMC,3
firewire_tree.2.prop1-back-serstep.yml,BTOR2,BMC,3
firewire_tree.2.prop1-func-interl.yml,BTOR2,BMC,4
firewire_tree.2.prop2-back-serstep.yml,BTOR2,BMC,3
firewire_tree.2.prop2-func-interl.yml,BTOR2,BMC,4
firewire_tree.2.prop3-back-serstep.yml,BTOR2,BMC,3
firewire_tree.2.prop3-func-interl.yml,BTOR2,BMC,4
firewire_tree.3.prop1-back-serstep.yml,BTOR2,BMC,3
firewire_tree.3.prop1-func-interl.yml,BTOR2,BMC,3
firewire_tree.3.prop2-back-serstep.yml,BTOR2,BMC,3
firewire_tree.3.prop2-func-interl.yml,BTOR2,BMC,3
firewire_tree.3.prop3-back-serstep.yml,BTOR2,BMC,3
firewire_tree.3.prop3-func-interl.yml,BTOR2,BMC,3
firewire_tree.4.prop1-back-serstep.yml,BTOR2,BMC,3
firewire_tree.4.prop1-func-interl.yml,BTOR2,BMC,3
firewire_tree.4.prop2-back-serstep.yml,BTOR2,BMC,3
firewire_tree.4.prop2-func-interl.yml,BTOR2,BMC,3
firewire_tree.4.prop3-back-serstep.yml,BTOR2,BMC,3
firewire_tree.4.prop3-func-interl.yml,BTOR2,BMC,3
firewire_tree.5.prop1-back-serstep.yml,BTOR2,BMC,0
firewire_tree.5.prop1-func-interl.yml,BTOR2,BMC,1
firewire_tree.5.prop2-back-serstep.yml,BTOR2,BMC,0
firewire_tree.5.prop2-func-interl.yml,BTOR2,BMC,3
firewire_tree.5.prop3-back-serstep.yml,BTOR2,BMC,3
firewire_tree.5.prop3-func-interl.yml,BTOR2,BMC,3
fischer.1.prop1-back-serstep.yml,BTOR2,BMC,7
fischer.1.prop1-func-interl.yml,BTOR2,BMC,9
fischer.2.prop1-back-serstep.yml,BTOR2,BMC,6
fischer.2.prop1-func-interl.yml,BTOR2,BMC,8
fischer.3.prop1-back-serstep.yml,BTOR2,BMC,6
fischer.3.prop1-func-interl.yml,BTOR2,BMC,7
fischer.4.prop1-back-serstep.yml,BTOR2,BMC,6
fischer.4.prop1-func-interl.yml,BTOR2,BMC,6
fischer.5.prop1-back-serstep.yml,BTOR2,BMC,5
fischer.5.prop1-func-interl.yml,BTOR2,BMC,6
fischer.6.prop1-back-serstep.yml,BTOR2,BMC,5
fischer.6.prop1-func-interl.yml,BTOR2,BMC,6
fischer.7.prop1-back-serstep.yml,BTOR2,BMC,5
fischer.7.prop1-func-interl.yml,BTOR2,BMC,6
frogs.1.prop1-back-serstep.yml,BTOR2,BMC,4
frogs.1.prop1-func-interl.yml,BTOR2,BMC,6
frogs.2.prop1-back-serstep.yml,BTOR2,BMC,4
frogs.2.prop1-func-interl.yml,BTOR2,BMC,7
frogs.3.prop1-back-serstep.yml,BTOR2,BMC,3
frogs.3.prop1-func-interl.yml,BTOR2,BMC,6
frogs.4.prop1-back-serstep.yml,BTOR2,BMC,4
frogs.4.prop1-func-interl.yml,BTOR2,BMC,6
frogs.5.prop1-back-serstep.yml,BTOR2,BMC,4
frogs.5.prop1-func-interl.yml,BTOR2,BMC,5
gear.1.prop1-back-serstep.yml,BTOR2,BMC,5
gear.1.prop1-func-interl.yml,BTOR2,BMC,5
gear.1.prop2-back-serstep.yml,BTOR2,BMC,5
gear.1.prop2-func-interl.yml,BTOR2,BMC,5
gear.1.prop3-back-serstep.yml,BTOR2,BMC,5
gear.1.prop3-func-interl.yml,BTOR2,BMC,6
gear.1.prop4-back-serstep.yml,BTOR2,BMC,5
gear.1.prop4-func-interl.yml,BTOR2,BMC,5
gear.2.prop1-back-serstep.yml,BTOR2,BMC,5
gear.2.prop1-func-interl.yml,BTOR2,BMC,5
gear.2.prop2-back-serstep.yml,BTOR2,BMC,5
gear.2.prop2-func-interl.yml,BTOR2,BMC,6
gear.2.prop3-back-serstep.yml,BTOR2,BMC,5
gear.2.prop3-func-interl.yml,BTOR2,BMC,5
gear.2.prop4-back-serstep.yml,BTOR2,BMC,5
gear.2.prop4-func-interl.yml,BTOR2,BMC,5
hanoi.1.prop1-back-serstep.yml,BTOR2,BMC,6
hanoi.1.prop1-func-interl.yml,BTOR2,BMC,11
hanoi.2.prop1-back-serstep.yml,BTOR2,BMC,5
hanoi.2.prop1-func-interl.yml,BTOR2,BMC,9
hanoi.3.prop1-back-serstep.yml,BTOR2,BMC,5
hanoi.3.prop1-func-interl.yml,BTOR2,BMC,8
hanoi.4.prop1-back-serstep.yml,BTOR2,BMC,5
hanoi.4.prop1-func-interl.yml,BTOR2,BMC,9
Huffman_dec.yml,BTOR2,BMC,19
Huffman_enc.yml,BTOR2,BMC,38
iprotocol.1.prop1-back-serstep.yml,BTOR2,BMC,5
iprotocol.1.prop1-func-interl.yml,BTOR2,BMC,6
iprotocol.2.prop1-back-serstep.yml,BTOR2,BMC,5
iprotocol.2.prop1-func-interl.yml,BTOR2,BMC,7
