Filename,Input Type,CPU Time,Memory
firewire_tree.1.prop2-back-serstep.yml,BTOR2,145.000791998s,1072570368B
firewire_tree.1.prop2-func-interl.yml,BTOR2,73.660063878s,1214332928B
firewire_tree.1.prop3-back-serstep.yml,BTOR2,131.725140438s,1175633920B
firewire_tree.1.prop3-func-interl.yml,BTOR2,107.513338898s,1119006720B
firewire_tree.2.prop1-back-serstep.yml,BTOR2,41.395012773s,775290880B
firewire_tree.2.prop1-func-interl.yml,BTOR2,22.843148965s,1069617152B
firewire_tree.2.prop2-back-serstep.yml,BTOR2,46.248039019s,1104097280B
firewire_tree.2.prop2-func-interl.yml,BTOR2,36.843964059s,668196864B
firewire_tree.2.prop3-back-serstep.yml,BTOR2,39.41742105s,753868800B
firewire_tree.2.prop3-func-interl.yml,BTOR2,34.930278262s,715489280B
firewire_tree.3.prop1-back-serstep.yml,BTOR2,68.747220309s,1523601408B
firewire_tree.3.prop1-func-interl.yml,BTOR2,58.045924182s,1416777728B
firewire_tree.3.prop2-back-serstep.yml,BTOR2,86.710361635s,1485537280B
firewire_tree.3.prop2-func-interl.yml,BTOR2,70.628092324s,1373839360B
firewire_tree.3.prop3-back-serstep.yml,BTOR2,72.869906333s,1588473856B
firewire_tree.3.prop3-func-interl.yml,BTOR2,121.58401865s,1161711616B
firewire_tree.4.prop1-back-serstep.yml,BTOR2,150.412432726s,1513508864B
firewire_tree.4.prop1-func-interl.yml,BTOR2,97.95590995s,1656393728B
firewire_tree.4.prop2-back-serstep.yml,BTOR2,172.292667696s,1550147584B
firewire_tree.4.prop2-func-interl.yml,BTOR2,200.506322352s,1476943872B
firewire_tree.4.prop3-back-serstep.yml,BTOR2,125.763239675s,1729736704B
firewire_tree.4.prop3-func-interl.yml,BTOR2,195.215433417s,1293795328B
fischer.1.prop1-back-serstep.yml,BTOR2,6.020361448s,159367168B
fischer.1.prop1-func-interl.yml,BTOR2,6.589711778s,179576832B
fischer.2.prop1-back-serstep.yml,BTOR2,8.096436758s,218128384B
fischer.2.prop1-func-interl.yml,BTOR2,5.437172902s,186802176B
fischer.3.prop1-back-serstep.yml,BTOR2,6.587929816s,205185024B
fischer.3.prop1-func-interl.yml,BTOR2,6.170771609s,205017088B
fischer.4.prop1-back-serstep.yml,BTOR2,9.184519552s,234979328B
fischer.4.prop1-func-interl.yml,BTOR2,9.71697538s,187707392B
fischer.5.prop1-back-serstep.yml,BTOR2,5.904366139s,256032768B
fischer.5.prop1-func-interl.yml,BTOR2,9.172775673s,207708160B
fischer.6.prop1-back-serstep.yml,BTOR2,10.219728407s,259194880B
fischer.6.prop1-func-interl.yml,BTOR2,6.619256912s,198918144B
fischer.7.prop1-back-serstep.yml,BTOR2,7.858582109s,252391424B
fischer.7.prop1-func-interl.yml,BTOR2,7.701357007s,255217664B
frogs.1.prop1-back-serstep.yml,BTOR2,13.800976323s,428597248B
frogs.1.prop1-func-interl.yml,BTOR2,12.219854364s,441028608B
frogs.2.prop1-back-serstep.yml,BTOR2,8.437095848s,409182208B
frogs.2.prop1-func-interl.yml,BTOR2,6.212005761s,284585984B
frogs.3.prop1-back-serstep.yml,BTOR2,21.547228498s,652374016B
frogs.3.prop1-func-interl.yml,BTOR2,11.215005913s,505229312B
frogs.4.prop1-back-serstep.yml,BTOR2,12.990895822s,620658688B
frogs.4.prop1-func-interl.yml,BTOR2,9.461470996s,493621248B
frogs.5.prop1-back-serstep.yml,BTOR2,14.406805339s,747429888B
frogs.5.prop1-func-interl.yml,BTOR2,16.201592786s,517468160B
gear.1.prop1-back-serstep.yml,BTOR2,15.58657169s,300138496B
gear.1.prop1-func-interl.yml,BTOR2,10.222654138s,255717376B
gear.1.prop2-back-serstep.yml,BTOR2,13.256579932s,357912576B
gear.1.prop2-func-interl.yml,BTOR2,12.866569873s,275554304B
gear.1.prop3-back-serstep.yml,BTOR2,7.63300617s,378933248B
gear.1.prop3-func-interl.yml,BTOR2,9.179012122s,247676928B
gear.1.prop4-back-serstep.yml,BTOR2,9.223657219s,296751104B
gear.1.prop4-func-interl.yml,BTOR2,6.775581758s,260247552B
gear.2.prop1-back-serstep.yml,BTOR2,7.589477855s,326373376B
gear.2.prop1-func-interl.yml,BTOR2,11.972747053s,251965440B
gear.2.prop2-back-serstep.yml,BTOR2,9.246978874s,323325952B
gear.2.prop2-func-interl.yml,BTOR2,7.219052026s,239505408B
gear.2.prop3-back-serstep.yml,BTOR2,7.748650873s,366743552B
gear.2.prop3-func-interl.yml,BTOR2,6.992821079s,251969536B
gear.2.prop4-back-serstep.yml,BTOR2,12.559119956s,356212736B
gear.2.prop4-func-interl.yml,BTOR2,7.279453094s,293322752B
hanoi.1.prop1-back-serstep.yml,BTOR2,9.598748184s,250933248B
hanoi.1.prop1-func-interl.yml,BTOR2,5.49839716s,228601856B
hanoi.2.prop1-back-serstep.yml,BTOR2,15.336772394s,305188864B
hanoi.2.prop1-func-interl.yml,BTOR2,8.116025141s,186429440B
hanoi.3.prop1-back-serstep.yml,BTOR2,10.385587692s,447668224B
hanoi.3.prop1-func-interl.yml,BTOR2,6.524852866s,246210560B
hanoi.4.prop1-back-serstep.yml,BTOR2,9.752250502s,442998784B
hanoi.4.prop1-func-interl.yml,BTOR2,7.120336477s,241684480B
iprotocol.1.prop1-back-serstep.yml,BTOR2,10.598223639s,255643648B
iprotocol.1.prop1-func-interl.yml,BTOR2,6.245970155s,220811264B
iprotocol.2.prop1-back-serstep.yml,BTOR2,6.6646564s,277778432B
iprotocol.2.prop1-func-interl.yml,BTOR2,6.20628438s,188383232B
iprotocol.3.prop1-back-serstep.yml,BTOR2,7.42705974s,263573504B
iprotocol.3.prop1-func-interl.yml,BTOR2,5.436237894s,213741568B
iprotocol.4.prop1-back-serstep.yml,BTOR2,13.01366313s,243388416B
iprotocol.4.prop1-func-interl.yml,BTOR2,6.373941238s,232833024B
iprotocol.5.prop1-back-serstep.yml,BTOR2,8.293777677s,278966272B
iprotocol.5.prop1-func-interl.yml,BTOR2,6.951313324s,251080704B
iprotocol.6.prop1-back-serstep.yml,BTOR2,8.307599059s,303980544B
iprotocol.6.prop1-func-interl.yml,BTOR2,9.168751235s,220815360B
iprotocol.7.prop1-back-serstep.yml,BTOR2,13.21021326s,333651968B
iprotocol.7.prop1-func-interl.yml,BTOR2,8.525991306s,255819776B
krebs.1.prop1-back-serstep.yml,BTOR2,4.850591159s,195907584B
krebs.1.prop1-func-interl.yml,BTOR2,7.144141088s,147058688B
krebs.2.prop1-back-serstep.yml,BTOR2,5.982511029s,196624384B
krebs.2.prop1-func-interl.yml,BTOR2,6.722137836s,186531840B
krebs.3.prop1-back-serstep.yml,BTOR2,7.977139303s,214196224B
krebs.3.prop1-func-interl.yml,BTOR2,8.03544444s,185847808B
krebs.4.prop1-back-serstep.yml,BTOR2,9.864262594s,251109376B
